2018-06-28 21:54:45 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-06-28 21:54:46 INFO  HiveMetaStore:589 - 0: Opening raw store with implemenation class:org.apache.hadoop.hive.metastore.ObjectStore
2018-06-28 21:54:46 INFO  ObjectStore:289 - ObjectStore, initialize called
2018-06-28 21:54:46 INFO  Persistence:77 - Property hive.metastore.integral.jdo.pushdown unknown - will be ignored
2018-06-28 21:54:46 INFO  Persistence:77 - Property datanucleus.cache.level2 unknown - will be ignored
2018-06-28 21:54:47 INFO  ObjectStore:370 - Setting MetaStore object pin classes with hive.metastore.cache.pinobjtypes="Table,StorageDescriptor,SerDeInfo,Partition,Database,Type,FieldSchema,Order"
2018-06-28 21:54:48 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 21:54:48 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 21:54:48 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 21:54:48 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 21:54:48 INFO  Query:77 - Reading in results for query "org.datanucleus.store.rdbms.query.SQLQuery@0" since the connection used is closing
2018-06-28 21:54:48 INFO  MetaStoreDirectSql:139 - Using direct SQL, underlying DB is DERBY
2018-06-28 21:54:48 INFO  ObjectStore:272 - Initialized ObjectStore
2018-06-28 21:54:48 INFO  HiveMetaStore:663 - Added admin role in metastore
2018-06-28 21:54:48 INFO  HiveMetaStore:672 - Added public role in metastore
2018-06-28 21:54:48 INFO  HiveMetaStore:712 - No user is added in admin role, since config is empty
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_all_databases
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_all_databases	
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=default pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=default pat=*	
2018-06-28 21:54:48 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MResourceUri" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=tpcds_text_10 pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpcds_text_10 pat=*	
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=tpcds_text_20 pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpcds_text_20 pat=*	
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=tpch_flat_orc_10 pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpch_flat_orc_10 pat=*	
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=tpch_flat_orc_20 pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpch_flat_orc_20 pat=*	
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=tpch_text_10 pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpch_text_10 pat=*	
2018-06-28 21:54:48 INFO  HiveMetaStore:746 - 0: get_functions: db=tpch_text_20 pat=*
2018-06-28 21:54:48 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpch_text_20 pat=*	
2018-06-28 21:54:49 INFO  SessionState:641 - Created local directory: /tmp/56c098a7-9a5b-45b0-9ac2-9dc001f1610f_resources
2018-06-28 21:54:49 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/jimmyyou/56c098a7-9a5b-45b0-9ac2-9dc001f1610f
2018-06-28 21:54:49 INFO  SessionState:641 - Created local directory: /tmp/jimmyyou/56c098a7-9a5b-45b0-9ac2-9dc001f1610f
2018-06-28 21:54:49 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/jimmyyou/56c098a7-9a5b-45b0-9ac2-9dc001f1610f/_tmp_space.db
2018-06-28 21:54:49 INFO  SparkContext:54 - Running Spark version 2.3.1
2018-06-28 21:54:49 INFO  SparkContext:54 - Submitted application: SparkSQL::10.0.1.253
2018-06-28 21:54:49 INFO  SecurityManager:54 - Changing view acls to: jimmyyou
2018-06-28 21:54:49 INFO  SecurityManager:54 - Changing modify acls to: jimmyyou
2018-06-28 21:54:49 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-06-28 21:54:49 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-06-28 21:54:49 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(jimmyyou); groups with view permissions: Set(); users  with modify permissions: Set(jimmyyou); groups with modify permissions: Set()
2018-06-28 21:54:49 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 40517.
2018-06-28 21:54:49 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-06-28 21:54:49 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-06-28 21:54:49 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-06-28 21:54:49 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-06-28 21:54:49 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-48453b4f-25a6-426b-bb31-70d742155c1b
2018-06-28 21:54:49 INFO  MemoryStore:54 - MemoryStore started with capacity 2004.6 MB
2018-06-28 21:54:49 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-06-28 21:54:49 INFO  log:192 - Logging initialized @4546ms
2018-06-28 21:54:49 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2018-06-28 21:54:49 INFO  Server:414 - Started @4598ms
2018-06-28 21:54:49 INFO  AbstractConnector:278 - Started ServerConnector@9b3be1c{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-06-28 21:54:49 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3030836d{/jobs,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5b742bc8{/jobs/json,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@74fb5b59{/jobs/job,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@722531ab{/jobs/job/json,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@8f57e4c{/stages,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@26fadd98{/stages/json,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@66451058{/stages/stage,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6ef4cbe1{/stages/stage/json,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@207dd1b7{/stages/pool,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2baac4a7{/stages/pool/json,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@23ad2d17{/storage,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6bce4140{/storage/json,null,AVAILABLE,@Spark}
2018-06-28 21:54:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@25f0c5e7{/storage/rdd,null,AVAILABLE,@Spark}
